,,,,inputs,,,,,,,,,,outputs,,,,,,,,
,,,funct3,,,opcode,,,,,,,,,,,,,,,,
ins,i30,i14,i13,i12,i6,i5,i4,i3,i2,ibin,ihex,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,obin,ohex
add,0,0,0,0,0,1,1,0,0,000001100,C,0,0,0,0,1,0,0,0,0,000010000,10
sub,1,0,0,0,0,1,1,0,0,100001100,10C,1,0,0,0,1,0,0,0,0,100010000,110
or,0,1,1,0,0,1,1,0,0,011001100,CC,0,1,1,0,1,0,0,0,0,011010000,D0
and,0,1,1,1,0,1,1,0,0,011101100,EC,0,1,1,1,1,0,0,0,0,011110000,F0
xor,0,1,0,0,0,1,1,0,0,010001100,8C,0,1,0,0,1,0,0,0,0,010010000,90
sll,0,0,0,1,0,1,1,0,0,000101100,2C,0,0,0,1,1,0,0,0,0,000110000,30
srl,0,1,0,1,0,1,1,0,0,010101100,AC,0,1,0,1,1,0,0,0,0,010110000,B0
sra,1,1,0,1,0,1,1,0,0,110101100,1AC,1,1,0,1,1,0,0,0,0,110110000,1B0
slt,0,0,1,0,0,1,1,0,0,001001100,4C,0,0,1,0,1,0,0,0,0,001010000,50
sltu,0,0,1,1,0,1,1,0,0,001101100,6C,0,0,1,1,1,0,0,0,0,001110000,70
addi,0,0,0,0,0,0,1,0,0,000000100,4,0,0,0,0,1,0,0,0,1,000010001,11
xori,0,1,0,0,0,0,1,0,0,010000100,84,0,1,0,0,1,0,0,0,1,010010001,91
ori,0,1,1,0,0,0,1,0,0,011000100,C4,0,1,1,0,1,0,0,0,1,011010001,D1
andi,0,1,1,1,0,0,1,0,0,011100100,E4,0,1,1,1,1,0,0,0,1,011110001,F1
slli,0,0,0,1,0,0,1,0,0,000100100,24,0,0,0,1,1,0,0,0,1,000110001,31
srli,0,1,0,1,0,0,1,0,0,010100100,A4,0,1,0,1,1,0,0,0,1,010110001,B1
srai,1,1,0,1,0,0,1,0,0,110100100,1A4,1,1,0,1,1,0,0,0,1,110110001,1B1
slti,0,0,1,0,0,0,1,0,0,001000100,44,0,0,1,0,1,0,0,0,1,001010001,51
sltiu,0,0,1,1,0,0,1,0,0,001100100,64,0,0,1,1,1,0,0,0,1,001110001,71
